Type,Node,Node Interface,Leaf IP Address,Peer Type,Peer Node,Peer Interface,Peer IP Address
rr,P-01,Ethernet1,100.64.48.0/31,rr,P-02,Ethernet1,100.64.48.1/31
rr,P-01,Ethernet2,100.64.48.4/31,pe,PE-02,Ethernet2,100.64.48.5/31
rr,P-01,Ethernet3,100.64.48.2/31,pe,PE-01,Ethernet1,100.64.48.3/31
rr,P-01,Ethernet4,100.64.48.6/31,pe,PE-03,Ethernet1,100.64.48.7/31
rr,P-02,Ethernet2,100.64.48.8/31,pe,PE-02,Ethernet1,100.64.48.9/31
rr,P-02,Ethernet3,100.64.48.12/31,pe,PE-04,Ethernet1,100.64.48.13/31
rr,P-02,Ethernet4,100.64.48.14/31,pe,PE-04,Ethernet2,100.64.48.15/31
rr,P-02,Ethernet5,100.64.48.10/31,pe,PE-03,Ethernet2,100.64.48.11/31
pe,PE-01,Ethernet2,100.64.48.16/31,pe,PE-02,Ethernet3,100.64.48.17/31
